episode,return,return_ma50
917,341.3924,249.3603
918,177.9990,246.6877
919,191.8520,246.5588
920,199.9524,246.4257
921,397.4887,251.9714
922,134.7815,248.5128
923,293.8883,252.4050
924,20.6043,247.7502
925,340.0275,247.5007
926,92.4599,245.7044
927,456.5468,250.0891
928,99.9050,249.3950
929,303.2853,247.3835
930,129.4543,242.5940
931,321.4637,243.1997
932,52.8068,236.1107
933,224.1911,235.2538
934,409.7694,237.0438
935,163.5173,238.1112
936,93.6731,231.7799
937,189.2758,231.4859
938,195.2662,229.9373
939,254.3735,226.7825
940,139.6417,225.6656
941,126.3902,224.9401
942,20.1522,222.7871
943,253.0687,220.7087
944,113.6914,214.5261
945,48.0651,209.7626
946,405.7981,216.1780
947,127.9373,214.1055
948,128.3428,208.4877
949,222.3565,210.1221
950,422.8280,216.9100
951,427.5584,219.5020
952,321.2892,221.6121
953,123.6228,221.6498
954,169.7938,216.8112
955,163.9513,211.7532
956,320.2615,215.9071
957,312.2315,221.8491
958,222.7877,218.7094
959,189.1015,218.6271
960,252.3510,222.2283
961,206.8009,221.2559
962,323.4421,222.8713
963,136.6207,219.5337
964,347.1046,218.1000
965,340.3334,221.8171
966,272.5128,224.4402
967,339.9482,224.4113
968,356.1258,227.9738
969,192.2958,227.9827
970,445.9600,232.9029
971,269.0409,230.3339
972,185.7443,231.3532
973,98.0425,227.4362
974,346.3456,233.9511
975,137.2484,229.8955
976,-2.4985,227.9963
977,307.6539,225.0185
978,495.6000,232.9324
979,398.1358,234.8294
980,479.4582,241.8294
981,146.3396,238.3270
982,404.4018,245.3589
983,416.1991,249.1990
984,309.6818,247.1973
985,264.3268,249.2135
986,162.6993,250.5940
987,423.1717,255.2719
988,105.3427,253.4734
989,93.8995,250.2640
990,129.0160,250.0514
991,220.0328,251.9243
992,69.8670,252.9186
993,137.2643,250.6025
994,424.0706,256.8101
995,315.6101,262.1610
996,262.3373,259.2918
997,213.1170,260.9954
998,136.6434,261.1614
999,154.1551,259.7974
1000,341.5745,258.1723
1001,205.2653,253.7264
1002,337.4202,254.0490
1003,297.7790,257.5322
1004,15.1777,254.4398
1005,212.1765,255.4043
1006,206.1197,253.1215
1007,203.8712,250.9543
1008,438.6205,255.2710
1009,270.3449,256.8958
1010,142.3475,254.6958
1011,434.3179,259.2461
1012,180.0177,256.3776
1013,358.8922,260.8230
1014,253.4324,258.9496
1015,217.6359,256.4957
1016,147.0190,253.9858
1017,208.6159,251.3591
1018,302.4051,250.2847
1019,317.0914,252.7806
1020,310.9346,250.0801
1021,223.1727,249.1628
1022,377.7735,253.0033
1023,402.4290,259.0911
1024,9.8637,252.3614
1025,199.8775,253.6140
1026,392.0152,261.5043
1027,236.3676,260.0786
1028,160.2014,253.3706
1029,189.2845,249.1936
1030,190.8653,243.4217
1031,298.3739,246.4624
1032,399.4120,246.3626
1033,203.9191,242.1170
1034,294.9708,241.8228
1035,195.9215,240.4547
1036,325.7349,243.7154
1037,396.3867,243.1797
1038,206.4926,245.2027
1039,278.3840,248.8924
1040,166.6451,249.6450
1041,97.4227,247.1928
1042,26.6844,246.3291
1043,251.7512,248.6188
1044,325.2775,246.6430
1045,212.8208,244.5872
1046,274.6807,244.8341
1047,387.0250,248.3122
1048,342.2387,252.4241
1049,163.3557,252.6081
1050,396.2895,253.7024
1051,350.6364,256.6099
1052,266.0998,255.1835
1053,302.5264,255.2784
1054,203.1034,259.0369
1055,272.7462,260.2483
1056,411.8770,264.3635
1057,347.6985,267.2400
1058,52.3851,259.5153
1059,241.7818,258.9440
1060,246.2492,261.0221
1061,291.6142,258.1680
1062,356.9576,261.7068
1063,85.4890,256.2387
1064,194.2266,255.0546
1065,19.3383,251.0887
1066,234.2892,252.8341
1067,142.5405,251.5126
1068,304.0859,251.5462
1069,139.8695,248.0017
1070,381.6180,249.4154
1071,251.8009,249.9880
1072,262.5130,247.6828
1073,230.7002,244.2482
1074,387.8440,251.8078
1075,455.4457,256.9191
1076,239.3327,253.8655
1077,175.8077,252.6543
1078,259.2482,254.6352
1079,349.7465,257.8445
1080,338.5237,260.7976
1081,96.0734,256.7516
1082,31.0514,249.3844
1083,187.9597,249.0652
1084,178.0335,246.7265
1085,354.2006,249.8921
1086,233.5328,248.0480
1087,98.5631,242.0916
1088,375.3030,245.4678
1089,70.4687,241.3095
1090,191.0872,241.7983
1091,345.2058,246.7540
1092,434.4418,254.9091
1093,68.4452,251.2430
1094,403.7813,252.8131
1095,153.5569,251.6278
1096,154.9831,249.2338
1097,396.7230,249.4278
1098,339.7938,249.3789
1099,198.9876,250.0915
1100,496.5032,252.0958
1101,405.9291,253.2017
1102,268.7886,253.2554
1103,347.1938,254.1488
1104,327.5448,256.6376
1105,298.1429,257.1455
1106,274.7910,254.4038
1107,454.3638,256.5371
1108,318.8549,261.8665
1109,182.5710,260.6823
1110,200.1528,259.7604
1111,287.0550,259.6692
1112,240.9639,257.3493
1113,464.6087,264.9317
1114,349.4419,268.0360
1115,334.2722,274.3347
1116,213.3273,273.9155
1117,232.9427,275.7235
1118,344.5091,276.5320
1119,93.6890,275.6084
1120,220.8128,272.3923
1121,149.6914,270.3501
1122,171.0243,268.5203
1123,318.2070,270.2704
1124,198.8547,266.4906
1125,365.4386,264.6905
1126,247.2330,264.8485
1127,168.3211,264.6988
1128,253.5878,264.5856
1129,486.8387,267.3274
1130,353.2015,267.6210
1131,69.3526,267.0866
1132,61.6185,267.6979
1133,212.1708,268.1821
1134,174.6811,268.1151
1135,179.9908,264.6309
1136,159.4027,263.1483
1137,93.5111,263.0472
1138,158.8471,258.7181
1139,256.9494,262.4477
1140,134.1383,261.3087
1141,47.6233,255.3571
1142,324.9963,253.1682
1143,272.2184,257.2437
1144,366.9628,256.5073
1145,158.8919,256.6140
1146,105.0668,255.6157
1147,67.3826,249.0288
